ID,Player,Location,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0
0,A Bagai (CAN),H,2006-2013,16,14,0,339,84,24.21,611,55.48,0,3,0
1,A Bagai (CAN),A,2003-2011,9,9,2,267,92*,38.14,425,62.82,0,2,0
2,A Bagai (CAN),N,2003-2011,37,37,6,1358,137*,43.8,1959,69.32,2,11,2
3,A Bagai (CAN),T,2003-2013,62,60,8,1964,137*,37.76,2995,65.57,2,16,2
4,A Bagai (CAN),BIS,2011-2011,6,6,1,225,84,45,322,69.87,0,2,1
5,A Bagai (CAN),SENA,2003-2009,13,13,2,315,87,28.63,534,58.98,0,3,0
6,A Balbirnie (IRE),H,2014-2022,30,29,0,880,135,30.34,1182,74.45,3,3,2
7,A Balbirnie (IRE),A,2010-2023,27,26,3,811,121*,35.26,1109,73.12,3,5,1
8,A Balbirnie (IRE),N,2010-2021,35,33,3,985,145*,32.83,1259,78.23,2,5,2
9,A Balbirnie (IRE),T,2010-2023,92,88,6,2676,145*,32.63,3550,75.38,8,13,5
10,A Balbirnie (IRE),BIS,2017-2023,12,10,2,351,145*,43.87,422,83.17,1,2,1
11,A Balbirnie (IRE),SENA,2015-2023,12,12,0,404,113,33.66,462,87.44,1,2,0
12,A Bhandari (IND),N,2000-2004,2,1,1,0,0*,-,0,-,0,0,0
13,A Bhandari (IND),T,2000-2004,2,1,1,0,0*,-,0,-,0,0,0
14,A Bhandari (IND),BIS,2000-2000,1,1,1,0,0*,-,0,-,0,0,0
15,A Bhandari (IND),SENA,2004-2004,1,-,-,-,-,-,-,-,-,-,-
16,A Bohara (NEPAL),H,2020-2020,2,2,2,13,8*,-,14,92.85,0,0,0
17,A Bohara (NEPAL),T,2020-2020,2,2,2,13,8*,-,14,92.85,0,0,0
18,A Codrington (CAN),H,2006-2006,2,2,0,14,7,7,20,70,0,0,0
19,A Codrington (CAN),A,2007-2007,1,1,0,5,5,5,7,71.42,0,0,0
20,A Codrington (CAN),N,2003-2007,6,5,0,28,16,5.6,65,43.07,0,0,2
21,A Codrington (CAN),T,2003-2007,9,8,0,47,16,5.87,92,51.08,0,0,2
